"log_saleprice","bsmtfinsf1","bsmtfintype1","bsmtfullbath","bsmtqual","centralair","electrical","exterior1st","exterior2nd","exterqual","fireplacequ","fireplaces","foundation","fullbath","garagearea","garagecars","garagefinish","garagetype","grlivarea","halfbath","heatingqc","housestyle","kitchenqual","log_grlivarea","log_saleprice.1","log_lotarea","log_lotfrontage","lotshape","masvnrtype","mszoning","neighborhood","overallcond","overallqual","saletype","totalbsmtsf","totrmsabvgrd","x1stflrsf","x2ndflrsf","yearbuilt","yearremodadd"
12.247694320221,706,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","None",0,"PConc",2,548,2,"RFn","Attchd",1710,1,"Ex","2Story","Gd",7.44424864949671,12.247694320221,9.04192172035122,4.17438726989564,"Reg","BrkFace","RL","CollgCr",5,7,"WD",856,8,856,854,2003,2003
12.109010932687,978,"ALQ",0,"Gd","Y","SBrkr","MetalSd","MetalSd","TA","TA",1,"CBlock",2,460,2,"RFn","Attchd",1262,0,"Ex","1Story","TA",7.14045304310116,12.109010932687,9.16951837745593,4.38202663467388,"Reg","None","RL","Veenker",8,6,"WD",1262,6,1262,0,1976,1976
12.3171666930358,486,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","TA",1,"PConc",2,608,2,"RFn","Attchd",1786,1,"Ex","2Story","Gd",7.48773376143644,12.3171666930358,9.32812340763257,4.21950770517611,"IR1","BrkFace","RL","CollgCr",5,7,"WD",920,6,920,866,2001,2002
11.8493977015914,216,"ALQ",1,"TA","Y","SBrkr","Wd Sdng","Wd Shng","TA","Gd",1,"BrkTil",1,642,3,"Unf","Detchd",1717,0,"Gd","2Story","Gd",7.44833386089748,11.8493977015914,9.16429643347478,4.0943445622221,"IR1","None","RL","Crawfor",5,7,"WD",756,7,961,756,1915,1970
12.4292161968444,655,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","TA",1,"PConc",2,836,3,"RFn","Attchd",2198,1,"Ex","2Story","Gd",7.69530313496357,12.4292161968444,9.56521369396829,4.43081679884331,"IR1","BrkFace","RL","NoRidge",5,8,"WD",1145,9,1145,1053,2000,2000
11.870599909242,732,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"Wood",1,480,2,"Unf","Attchd",1362,1,"Ex","1.5Fin","TA",7.21670948670946,11.870599909242,9.55499334068759,4.44265125649032,"IR1","None","RL","Mitchel",5,5,"WD",796,5,796,566,1993,1995
12.6346030265693,1369,"GLQ",1,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,636,2,"RFn","Attchd",1694,0,"Ex","1Story","Gd",7.434847875212,12.6346030265693,9.21870528830781,4.31748811353631,"Reg","Stone","RL","Somerst",5,8,"WD",1686,7,1694,0,2004,2005
12.2060726455302,859,"ALQ",1,"Gd","Y","SBrkr","HdBoard","HdBoard","TA","TA",2,"CBlock",2,484,2,"RFn","Attchd",2090,1,"Ex","2Story","TA",7.64491934495886,12.2060726455302,9.24782881638717,4.24340665885568,"IR1","Stone","RL","NWAmes",6,7,"WD",1107,7,1107,983,1973,1973
11.7745202026587,0,"Unf",0,"TA","Y","FuseF","BrkFace","Wd Shng","TA","TA",2,"BrkTil",2,468,2,"Unf","Detchd",1774,0,"Gd","1.5Fin","TA",7.48099216286952,11.7745202026587,8.71931737550637,3.93182563272433,"Reg","None","RM","OldTown",5,7,"WD",952,8,1022,752,1931,1950
11.6784399034478,851,"GLQ",1,"TA","Y","SBrkr","MetalSd","MetalSd","TA","TA",2,"BrkTil",1,205,1,"RFn","Attchd",1077,0,"Ex","1.5Unf","TA",6.98193467715639,11.6784399034478,8.91193433616143,3.91202300542815,"Reg","None","RL","BrkSide",6,5,"WD",991,5,1077,0,1939,1950
